개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,소재지우편번호,도로명우편번호,사업장명,데이터갱신구분,객실수,건물용도명,건축연면적,기념품종류,데이터갱신시점,도로명주소,무대면적,문화사업자구분명,문화체육업종명,보험기관명,보험시작일자,보험종료일자,상세영업상태명,상세영업상태코드,선박제원,선박척수,선박총톤수,시설규모,시설면적,영문상호명,영문상호주소,영업상태코드,자본금,전화번호,제작취급품목내용,좌석수,좌표정보(X),좌표정보(Y),주변환경명,지번주소,지상층수,지역구분명,지하층수,총층수,회의실별동시수용인원,최종수정시점
4050000,CDFI2262122009000001,2009-03-09,,영업/정상,,,,446-730,,한국민속촌,I,,기타,,,2025-12-15 16:15:28,,,,종합휴양업,,,,영업중,13,,,,517751,517751,,,01,51947000000,0312882811,,,,,아파트지역,경기도 용인시 기흥구 보라동 107 한국민속촌 ,,자연녹지지역,,,,2015-10-13 08:07:43
4050000,CDFI2262122016000001,2016-02-29,,영업/정상,,,,,17087,GA코리아,I,,,,,2026-01-30 21:37:00,경기도 용인시 기흥구 기흥단지로 398 (고매동),,,종합휴양업,,,,영업중,13,,,,2973609,2973609,,,01,,0312868111,,,212122.006153317    ,412894.154309501    ,,경기도 용인시 기흥구 고매동 5-48 ,,,,,,2026-01-29 09:48:25
4050000,CDFI2262121986000001,1986-09-24,,영업/정상,,,,449-715,17023,삼성물산(주),U,,,,,2026-04-09 03:03:03,경기도 용인시 처인구 포곡읍 에버랜드로 199,,,종합휴양업,,,,영업중,13,,,,,,SAMSUNG EVERLAND INC.,Tourist Convenience Facilities,01,,0313208342,,,219138.424611781    ,420903.964757574    ,,경기도 용인시 처인구 포곡읍 전대리 310 ,,,,,,2026-04-08 10:15:01
4181000,CDFI2262121993000001,1993-10-05,,영업/정상,,,,200-914,24464,주식회사남이섬,I,,,,,2025-12-15 16:15:28,강원특별자치도 춘천시 남산면 남이섬길 1,,,종합휴양업,,,,영업중,13,,,,,,"NAMI ISLAND, INC.",GENERAL RECRATION SERVICE,01,1000000000,0315808119,,,246222.531678854    ,476683.992337235    ,기타,강원특별자치도 춘천시 남산면 방하리 198 ,,,,,,2023-06-09 15:30:38
4181000,CDFI2262122017000001,2017-09-28,,영업/정상,,,,,24464,엘리시안 강촌,I,,,,,2025-12-15 16:15:28,강원특별자치도 춘천시 남산면 북한강변길 688 (엘리시안강촌),,,종합휴양업,,,,영업중,13,,,,,,,,01,,0332602352,,,252001.082871926    ,480160.576219091    ,,강원특별자치도 춘천시 남산면 백양리 산 1-2 ,,,,,,2024-04-30 21:27:58
4231000,CDFI2262121997000001,1997-07-16,,영업/정상,,,,217-130,,한화호텔앤드리조트(주) 설악워터피아,I,,기타,13511,,2025-12-15 16:15:28,"강원특별자치도 속초시 미시령로2983번길 88 (장사동,일원)",,관광사업,종합휴양업,,,,영업중,13,,,,13511,13511.25,HANWHA HOTEL&RESORT SEORAK WATERPIA,GENERAL LEISURE FACILITY,01,32268000000,0336305635,,,333861.329823747    ,523878.780261004    ,기타,강원특별자치도 속초시 장사동 24-9 일원 ,1,자연녹지지역,2,3,,2025-10-23 14:44:42
4251000,CDFI2262122003000001,2003-07-15,,영업/정상,,,,250-856,,비발디파크,I,,콘도미니엄,,,2025-12-15 16:15:28,강원특별자치도 홍천군 서면 한치골길 262,,관광사업,종합휴양업,,,,영업중,13,,,,1254,1254,,,01,,0334348311,,,260639.34235408     ,460468.652029598    ,기타,강원특별자치도 홍천군 서면 팔봉리 산 125-16 ,,관리지역,,,,2025-05-08 10:30:14
4281000,CDFI2262122002000002,2002-06-21,,영업/정상,,,,,25352,모나용평 주식회사,I,,,,,2025-12-15 16:15:28,강원특별자치도 평창군 대관령면 올림픽로 715,,,종합휴양업,,,,영업중,13,,,,,,,,01,,0333355757,,,348259.144297804    ,461699.273918606    ,,강원특별자치도 평창군 대관령면 용산리 130 용평리조트 ,,,,,,2025-09-23 16:09:52
4281000,CDFI2262122002000001,2002-02-06,,영업/정상,,,,,25307,휘닉스중앙 주식회사,I,,,,,2025-12-15 16:15:28,강원특별자치도 평창군 봉평면 태기로 174 (주)휘닉스평창,,,종합휴양업,,,,영업중,13,,,,,,,,01,,0333306000,,,317177.713905004    ,454046.509523181    ,,강원특별자치도 평창군 봉평면 면온리 1095-1 (주)휘닉스평창 ,,,,,,2024-10-08 14:51:58
4331000,CDFI2262122018000001,2018-02-21,,영업/정상,,,,,24654,인제스피디움,I,,체육시설,,,2025-12-15 16:15:28,강원특별자치도 인제군 기린면 상하답로 130,,,종합휴양업,,,,영업중,13,,,,767078,767077.9,,,01,,,,,313347.093858807    ,500672.838290134    ,,강원특별자치도 인제군 기린면 북리 516 ,,,,,,2025-09-19 11:09:08
4400000,CDFI2262122013000001,2013-02-01,,영업/정상,,,,390-882,27105,리솜,I,,콘도미니엄,,,2025-12-15 16:15:28,충청북도 제천시 백운면 금봉로 365,,,종합휴양업,,,,영업중,13,,,,199719,199719,,,01,,0436496000,,,292837.458535471    ,406867.552237621    ,주택가주변,충청북도 제천시 백운면 평동리 67-10 ,2,녹지지역,0,2,,2015-07-01 20:36:09
4490000,CDFI2262122002000001,2002-12-26,,영업/정상,,,,330-882,31251,천안상록리조트,I,,호텔,,,2025-12-15 16:15:28,충청남도 천안시 동남구 수신면 수신로 576,,관광사업,종합휴양업,,,,영업중,13,,,,12950,12949.53,,,01,,0415609023,,,225693.408769383    ,359978.556735502    ,기타,충청남도 천안시 동남구 수신면 장산리 669-1 ,2,준주거지역,1,3,,2023-10-19 10:50:06
4580000,CDFI2262122015000001,2015-05-07,,취소/말소/만료/정지/중지,2026-01-23,,,325-902,33661,솔바람 캠핑장,I,,사무실,,,2026-01-24 22:37:01,충청남도 서천군 장항읍 장항산단로34번길 48-44,,,종합휴양업,,,,직권말소,35,,,,2428,2428,,,04,,,,,169739.01315848     ,280465.295764095    ,기타,충청남도 서천군 장항읍 송림리 758-1 ,1,자연녹지지역,0,1,,2026-01-23 10:20:56
4580000,CDFI2262122013000001,2013-09-11,,취소/말소/만료/정지/중지,2026-01-23,,,325-893,,춘장대오토캠핑장,I,,,,,2026-01-24 22:37:01,,,,종합휴양업,,,,직권말소,35,,,,4950,4950,,,04,100000000,,,,157338.05723247     ,295777.099657812    ,기타,충청남도 서천군 서면 도둔리 460-3 ,,관리지역,,,,2026-01-23 10:20:17
4610000,CDFI2262122025000001,2025-07-03,,영업/정상,,,,,32406,(주)호반호텔앤리조트 스플라스 리솜,I,,,,,2026-03-10 22:37:13,"충청남도 예산군 덕산면 온천단지3로 45-7, 스플라스 리솜",,,종합휴양업,,,,영업중,13,,,,,,,,01,,,,,169245.272422568    ,354787.740208922    ,,충청남도 예산군 덕산면 사동리 362 스플라스 리솜 ,,,,,,2025-07-03 17:12:13
4741000,CDFI2262121995000001,1995-08-07,,영업/정상,,,,568-811,,(주)무주덕유산리조트,I,,,,,2026-03-26 22:37:14,전북특별자치도 무주군 설천면 만선로 185,,관광사업,종합휴양업,,,,영업중,13,,,,,,,,01,,0633229000,,,266246.51944262     ,266229.366589769    ,기타,전북특별자치도 무주군 설천면 심곡리 산 43-15 ,,자연녹지지역,,,,2025-07-04 13:37:55
4810000,CDFI2262122014000001,2014-06-19,,영업/정상,,,,550-250,59635,(주) 여수관광레저,I,55,숙박시설,14815,,2025-12-15 16:15:28,전라남도 여수시 좌수영로 641 (둔덕동),,,종합휴양업,,,,영업중,13,,,,1154012,1154012,,,01,602490000,0618088031,,,263308.599883506    ,142402.203039669    ,기타,전라남도 여수시 둔덕동 286-12 ,4,자연녹지지역,2,4,,2019-12-23 08:05:04
4910000,CDFI2262122011000001,2011-04-05,,폐업,2014-07-16,,,529-812,,제암산관광농원,I,,,,,2025-12-15 16:15:28,,,,종합휴양업,,,,폐업,03,,,,,,,,03,,,,,193257.807493231    ,134914.222513426    ,,전라남도 장흥군 부산면 호계리 347-2 ,,,,,,2014-07-17 10:15:56
4930000,CDFI2262122010000001,2010-02-25,,취소/말소/만료/정지/중지,2017-03-22,,,,59004,전남개발공사(울돌목거북배),I,,사무실,,,2025-12-15 16:15:28,전라남도 해남군 문내면 우수영안길 96,,,종합휴양업,,,,직권말소,35,,,,144,144,,,04,500000000000,0615350653,,,136762.726358783    ,121345.67821865     ,기타,전라남도 해남군 문내면 선두리 421-6 ,1,관리지역,0,1,,2017-03-22 09:06:03
5010000,CDFI2262122009000001,2009-10-13,,폐업,2010-11-15,,,535-821,,(주)한백리조트,I,,숙박시설,,,2025-12-15 16:15:28,전라남도 신안군 증도면 지도증도로 1766-15,,,종합휴양업,,,,폐업,03,,,,77851,77851,,,03,50000000,0612603300,,,120968.069644878    ,163151.67239783     ,기타,전라남도 신안군 증도면 우전리 233-42 ,3,근린상업지역,,3,,2014-05-22 08:20:07
5050000,CDFI2262122008000001,2008-01-08,,영업/정상,,,,780-270,38117,경주월드,I,,,,,2026-03-26 22:03:45,경상북도 경주시 보문로 544 (천군동),,,종합휴양업,,,,영업중,13,,,,,,,,01,,0547457711,,,406125.268953932    ,262026.156851081    ,,경상북도 경주시 천군동 191-5 ,,,,,,2023-05-09 13:37:30
5370000,CDFI2262122018000001,2018-05-16,,영업/정상,,,,,53235,거제도해수보양온천,I,,,,,2026-03-26 22:03:51,"경상남도 거제시 수양로 507, 거제도해수온천 (양정동)",,,종합휴양업,,,,영업중,13,,,,,,,,01,,05563830000,,,349342.951051327    ,155972.801325984    ,,경상남도 거제시 양정동 976-14 거제도해수온천 ,,,,,,2024-01-16 14:08:56
5410000,CDFI2262121986000001,1986-03-19,,폐업,2017-07-19,,,635-891,50365,제일흥업(주)부곡하와이,I,,환경위생시설,,,2025-12-15 16:15:28,경상남도 창녕군 부곡면 온천중앙로 77,,관광사업,종합휴양업,,,,폐업,03,,,,120000,120000,,,03,,,,,344551.44266931     ,216592.13747984     ,유흥업소밀집지역,경상남도 창녕군 부곡면 거문리 195-7 ,5,자연녹지지역,2,7,,2017-07-21 17:09:19
5440000,CDFI2262122011000001,2011-09-20,,영업/정상,,,,667-892,52311,(주)드림랜드 자연휴양림,I,,,,,2026-03-26 22:03:41,경상남도 하동군 옥종면 옥단로 1443-347,,,종합휴양업,,,,영업중,13,,,,,,,,01,,,,,278067.959950346    ,192610.454775395    ,기타,경상남도 하동군 옥종면 종화리 538-6 ,,관리지역,,,,2021-02-16 15:29:37
5460000,CDFI2262122023000001,2023-06-21,2023-09-13,취소/말소/만료/정지/중지,,,,,50055,지리산 관광농원 휴천,I,,,,,2025-12-15 16:15:28,경상남도 함양군 마천면 초록마을길 12,,,종합휴양업,,,,등록취소,31,,,,,,,,04,,,,,259950.271456663    ,209549.925029306    ,,경상남도 함양군 마천면 가흥리 961-5 ,,,,,,2023-09-13 10:22:50
5590000,CDFI2262122008000001,2008-05-29,,영업/정상,,,,482-812,11519,장흥자생수목원,I,3,,221,,2025-12-15 16:15:28,경기도 양주시 장흥면 권율로309번길 113,,관광사업,종합휴양업,,,,영업중,13,,,,33444,33444,Jangheung Jasaeng natural Arboretum,General Recreation,01,2203000,0318260933,,,195749.575623643    ,471160.055395055    ,,경기도 양주시 장흥면 석현리 359-11 ,,,,,,2023-10-11 17:15:47
5710000,CDFI2262122009100001,2009-01-08,,영업/정상,,,,363-944,,(주)상수허브랜드,I,,근린생활시설,,,2025-12-15 16:15:28,충청북도 청주시 서원구 남이면 부용외천길 18,,관광사업,종합휴양업,,,,영업중,13,,,,,,,,01,200000000,,,,238063.508840192    ,336724.812616518    ,기타,충청북도 청주시 서원구 남이면 부용외천리 480 ,3,관리지역,1,3,,2025-12-05 11:06:21
6510000,CDFI2262122006000001,2006-07-28,,취소/말소/만료/정지/중지,2017-11-30,,,690-817,,(주)새별오름 관광타운,I,,,,,2025-12-15 16:15:28,제주특별자치도 제주시 국기로 14 (연동),,관광사업,종합휴양업,,,,직권말소,35,,,,,,,,04,,,,,152387.996190978    ,-1647.62158890424   ,,제주특별자치도 제주시 연동 1399 39통1반 ,,,,,,2017-11-30 15:13:41
6510000,CDFI2262122016001079,2016-06-28,,영업/정상,,,,,,아덴힐리조트앤골프,I,414,,,,2025-12-15 16:15:28,제주특별자치도 제주시 한림읍 화전길 82,,,종합휴양업,,,,영업중,13,,,,1049954,1049954,,,01,1000000000,0647307023,,,141201.777978779    ,-16706.3821022575   ,,제주특별자치도 제주시 한림읍 금악리 산 32-1 ,0,,0,0,,2021-09-03 17:31:04
6510000,CDFI2262122016001080,2016-11-03,,영업/정상,,,,,63348,세인트포 골프 앤 리조트,I,52,,,,2025-12-15 16:15:28,제주특별자치도 제주시 구좌읍 선유로 445-55 (세인트포 C.C),,,종합휴양업,,,,영업중,13,,,,12937,12936.57,St. Four Golf & Resort,Class-II resort complex business,01,,0647863800,,,175459.245662664    ,2730.91324585269    ,,제주특별자치도 제주시 구좌읍 김녕리 5160-2 ,,,,,,2018-11-19 16:19:17
6520000,CDFI2262122017000002,2017-10-18,,영업/정상,,,,,63642,휘닉스 제주 섭지코지,I,,,,,2026-03-11 00:45:40,제주특별자치도 서귀포시 성산읍 섭지코지로 93-66 (섭지코지개발회사),,,종합휴양업,,,,영업중,13,,,,,,,,01,,,,,193431.60491427     ,-7059.99565427254   ,,제주특별자치도 서귀포시 성산읍 고성리 182 ,,,,,,2024-10-10 17:42:00
