노선명,노선번호,시도명,시군구명,기점도로명주소,기점지번주소,종점도로명주소,종점지번주소,기점위도,기점경도,종점위도,종점경도,주요경유지,총길이(km),일반도로너비(m),자전거도로너비(m),자전거도로종류,자전거도로고시유무,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
한천로66길(서측),,서울특별시,성북구,,서울특별시 성북구 석관동 375-29,,서울특별시 성북구 석관동 88-2,37.61460565,127.0657239,37.60814014,127.0667131,,0.65,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
숭인로(북측),,서울특별시,성북구,,서울특별시 성북구 길음동 32-12,,서울특별시 성북구 길음동 32-12,37.61175734,127.0296414,37.61175734,127.0296414,,0.24,,1.2,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
숭인로(남측),,서울특별시,성북구,,서울특별시 성북구 길음동 485-14,,서울특별시 성북구 길음동 1278,37.61232898,127.0290375,37.60935341,127.0249739,,0.39,,1.2,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
숭인로8길(북측),,서울특별시,성북구,,서울특별시 성북구 길음동 1289,,서울특별시 성북구 길음동 1288,37.60784662,127.0256314,37.61084536,127.0270183,,0.46,,1.2,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
숭인로8길(남측),,서울특별시,성북구,,서울특별시 성북구 길음동 1278,,서울특별시 성북구 길음동 1289,37.61178261,127.0238796,37.60784662,127.0256314,,0.46,,1.2,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
동소문로47가길(서측),,서울특별시,성북구,,서울특별시 성북구 길음동 1289,,서울특별시 성북구 길음동 1289-13,37.60784662,127.0256314,37.60689004,127.0263731,,0.32,,1.2,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
동소문로47가길(동측),,서울특별시,성북구,,서울특별시 성북구 길음동 1289-13,,서울특별시 성북구 길음동 1289,37.60689004,127.0263731,37.60784662,127.0256314,,0.32,,1.2,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
고려대로24길,,서울특별시,성북구,,서울특별시 성북구 안암동5가 104-71,,서울특별시 성북구 안암동5가 101-68,37.5826996,127.0291277,37.5866277,127.0289451,,0.35,,3.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
장월로37길(북측),,서울특별시,성북구,,서울특별시 성북구 장위동 320-2,,서울특별시 성북구 장위동 141-13,37.62041504,127.0498681,37.61747619,127.0522071,,0.4,,1.6,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
장월로37길(남측),,서울특별시,성북구,,서울특별시 성북구 장위동 141-13,,서울특별시 성북구 장위동 320-2,37.61747619,127.0522071,37.62041504,127.0498681,,0.4,,1.6,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
장월로(북측),,서울특별시,성북구,,서울특별시 성북구 장위동 237-268,,서울특별시 성북구 장위동 275-18,37.61666802,127.0490186,37.61942694,127.0537727,,0.5,,2.2,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
장월로(남측),,서울특별시,성북구,,서울특별시 성북구 장위동 275-18,,서울특별시 성북구 장위동 237-268,37.61942694,127.0537727,37.61666802,127.0490186,,0.5,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
장위동 한천로(북측),,서울특별시,성북구,,서울특별시 성북구 장위동 165-3,,서울특별시 성북구 장위동 136-1,37.62190944,127.0515453,37.61754444,127.0550821,,0.55,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
장위동 한천로(남측),,서울특별시,성북구,,서울특별시 성북구 장위동 165-3,,서울특별시 성북구 장위동 136-1,37.62190944,127.0515453,37.61754444,127.0550821,,0.55,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
한천로99길,,서울특별시,성북구,,서울특별시 성북구 장위동 215-1,,서울특별시 성북구 장위동 165-3,37.6182874,127.0465041,37.62190944,127.0515453,,0.6,,1.5,,,서울특별시 성북구청 교통행정과,02-2241-3413,2025-12-23,3070000,서울특별시 성북구
화도진로,구도25,인천광역시,동구,,인천광역시 동구 송현동 70-15,,인천광역시 동구 송현동 98-410,37.47739337,126.6323141,37.47628081,126.6335317,북광장,0.25,20.0,1.5,자전거보행자겸용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
보세로,구도148,인천광역시,동구,,인천광역시 동구 만석동 18-11,,인천광역시 동구 만석동 2-255,37.48926143,126.6230897,37.48519622,126.6156873,해안산책로,2.524,20.0,2.4,자전거우선도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
동산로,대3-2,인천광역시,동구,,인천광역시 동구 송림동 102-24,,인천광역시 동구 송림동 102-117,37.47074255,126.6496166,37.4702856,126.6498105,박문4,0.138,25.0,1.5,자전거보행자겸용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
송림로,광3-9,인천광역시,동구,,인천광역시 동구 송림동 43-11,,인천광역시 동구 송림동 346,37.47699183,126.6494308,37.47786347,126.6518691,파인앤유,0.22,33.0,1.5,자전거보행자겸용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
염전로,구도153,인천광역시,동구,,인천광역시 동구 송림동 11-169,,인천광역시 동구 송림동 8-441,37.4810853,126.6467786,37.4841274,126.6491505,송림체육관,0.47,20.0,1.5,자전거보행자겸용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
새천년로,대2-39,인천광역시,동구,,인천광역시 동구 송림동 43-12,,인천광역시 동구 송림동 102-80,37.4769429,126.6493097,37.47098577,126.6496291,재능대,0.75,33.0,1.5,자전거보행자겸용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
송현로,대2-43,인천광역시,동구,,인천광역시 동구 송현동 56-211,,인천광역시 동구 송현동 72-129,37.47996185,126.6363852,37.47705166,126.633314,솔빛2차A,0.7,30.0,3.0,자전거보행자겸용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
중봉대로,광2-4,인천광역시,동구,,인천광역시 동구 송현동 142-19,,인천광역시 동구 송현동 1-6,37.49124842,126.6484007,37.48814767,126.6349596,현대제철,0.82,30.0,1.5,자전거보행자겸용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
황금고갯길,광3-2,인천광역시,동구,,인천광역시 동구 송림동 20-17,,인천광역시 동구 송림동 341,37.48082833,126.6463346,37.48092623,126.6521383,송현A,0.53,40.0,1.5,자전거보행자겸용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
인중로,광3-2,인천광역시,동구,,인천광역시 동구 송현동 1-6,,인천광역시 동구 만석동 18-11,37.48814767,126.6349596,37.48926143,126.6230897,두산인프라코어,3.54,40.0,1.5,자전거전용도로,N,인천광역시 동구,032-770-6587,2026-01-06,3500000,인천광역시 동구
연지로,,경상북도,청도군,,경상북도 청도군 화양읍 서상리 640-3,,경상북도 청도군 이서면 양원리 285-5,35.65876619,128.6979464,35.68593793,128.6851893,유등교+유등연지+양원삼거리,3.25,3.0,3.0,자전거전용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천로2,,경상북도,청도군,,경상북도 청도군 화양읍 눌미리 191-3,,경상북도 청도군 화양읍 서상리 640-3,35.66125666,128.7173247,35.65876619,128.6979464,고평교+소라보체육공원+유등교,2.64,2.0,1.4,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천로1,,경상북도,청도군,,경상북도 청도군 화양읍 범곡리 10-2,,경상북도 청도군 화양읍 눌미리 191-3,35.65194923,128.7424746,35.66125666,128.7173247,청풍교+청도군치매안심센터+고평교,2.6,2.0,1.6,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
범곡천로,,경상북도,청도군,경상북도 청도군 화양읍 청화로 79-7,경상북도 청도군 화양읍 범곡리 100-1,,경상북도 청도군 화양읍 범곡리 10-2,35.64862882,128.7368061,35.65194923,128.7424746,대남병원+새마을공원+청풍교,0.75,2.0,1.6,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천10,,경상북도,청도군,,경상북도 청도군 청도읍 거연리 1004-1,경상북도 청도군 청도읍 새마을안길 7-4,경상북도 청도군 청도읍 신도리 127-7,35.59347106,128.7658332,35.5995509,128.7651035,하지교+신도새마을회관(신도마을정보센터),0.63,5.0,1.0,자전거전용차로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천9,,경상북도,청도군,,경상북도 청도군 청도읍 거연리 1119,,경상북도 청도군 청도읍 거연리 1004-1,35.59812777,128.7674461,35.59347106,128.7658332,하지교,0.67,5.0,1.4,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천8,,경상북도,청도군,,경상북도 청도군 청도읍 거연리 483-8,,경상북도 청도군 청도읍 거연리 1119,35.60662741,128.770106,35.59812777,128.7674461,,0.91,,2.5,자전거전용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천7,,경상북도,청도군,경상북도 청도군 청도읍 금호길 25,경상북도 청도군 청도읍 거연리 1078-3,,경상북도 청도군 청도읍 거연리 483-8,35.61435007,128.7658677,35.60662741,128.770106,청도공공하수처리장,1.68,5.0,1.5,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천6,,경상북도,청도군,,경상북도 청도군 청도읍 월곡리 223-1,경상북도 청도군 청도읍 금호길 25,경상북도 청도군 청도읍 거연리 1078-3,35.62619142,128.7643891,35.61435007,128.7658677,박월교+청도공공하수처리장,1.09,,3.0,자전거전용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천5,,경상북도,청도군,경상북도 청도군 청도읍 구미길 85,경상북도 청도군 청도읍 구미리 66-16,,경상북도 청도군 청도읍 월곡리 223-1,35.6335148,128.760092,35.62619142,128.7643891,멍하루펜션+박월교,0.95,5.0,1.5,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천4,,경상북도,청도군,,경상북도 청도군 청도읍 구미리 400-11,경상북도 청도군 청도읍 구미길 85,경상북도 청도군 청도읍 구미리 66-16,35.63574609,128.7575873,35.6335148,128.760092,구미교+멍하루펜션,0.36,,2.5,자전거전용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천3,,경상북도,청도군,,경상북도 청도군 청도읍 원정리 441-4,,경상북도 청도군 청도읍 구미리 400-11,35.64454411,128.7496577,35.63574609,128.7575873,청도교+구미교,1.38,5.0,3.2,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천2,,경상북도,청도군,,경상북도 청도군 청도읍 송읍리 693-6,경상북도 청도군 청도읍 한내길 166,경상북도 청도군 청도읍 고수리 750,35.65185008,128.7460023,35.64579869,128.7473927,신기교+농업인회관,0.7,5.0,2.0,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청도천1,,경상북도,청도군,,경상북도 청도군 청도읍 송읍리 693-6,,경상북도 청도군 청도읍 구미리 285,35.65185008,128.7460023,35.63804066,128.7529714,신기교+청도천경기장+원정교,0.67,5.0,3.0,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
동창천로4,,경상북도,청도군,,경상북도 청도군 금천면 신지리 353,,경상북도 청도군 금천면 신지리 632,35.6777126,128.8919743,35.67170997,128.8929803,선암서원+법왕정사+신지교,1.38,2.0,2.0,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
동창천로3,,경상북도,청도군,,경상북도 청도군 금천면 임당리 2145-4,,경상북도 청도군 금천면 동곡리 1119-37,35.68955962,128.9009393,35.68152623,128.8944794,새들보+대동요업+금천교,0.89,2.0,2.0,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
동창천로2,,경상북도,청도군,,경상북도 청도군 운문면 방지리 986-3,,경상북도 청도군 금천면 임당리 2145-4,35.70774476,128.9156853,35.68955962,128.9009393,임당교차로+새들보,2.5,2.0,2.0,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
동창천로1,,경상북도,청도군,경상북도 청도군 운문면 방지강변길 58,경상북도 청도군 운문면 방지리 204,,경상북도 청도군 운문면 방지리 986-3,35.71317034,128.919508,35.70774476,128.9156853,운문댐하류보+하류보휴게소+임당교,0.51,4.0,4.0,자전거전용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
청려로,,경상북도,청도군,경상북도 청도군 화양읍 청려로 1677,경상북도 청도군 화양읍 서상리 533,경상북도 청도군 화양읍 청화로 79-7,경상북도 청도군 화양읍 범곡리 100-1,35.65526597,128.7035997,35.64862882,128.7368061,종합미곡처리장+범곡사거리+대남병원,3.13,3.0,3.0,자전거보행자겸용도로,N,경상북도 청도군청,054-370-2351,2025-12-22,5190000,경상북도 청도군
평릉1길,대로3-7,강원특별자치도,동해시,,강원특별자치도 동해시 평릉동 318,,강원특별자치도 동해시 평릉동 159-4,37.52888148,129.1015168,37.5287766,129.1048165,,0.3,,4.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
임항로-L,대로3-4,강원특별자치도,동해시,,강원특별자치도 동해시 부곡동 66-28,,강원특별자치도 동해시 부곡동 6-3,37.53876515,129.1015791,37.53945691,129.1102735,,0.73,,3.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
임항로-R,대로3-4,강원특별자치도,동해시,,강원특별자치도 동해시 부곡동 66-28,,강원특별자치도 동해시 부곡동 6-3,37.53876515,129.1015791,37.53945691,129.1102735,,0.73,,3.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
해안로2-L,대로3-15대로1-8,강원특별자치도,동해시,,강원특별자치도 동해시 천곡동 822,,강원특별자치도 동해시 발한동 215-7,37.5230284,129.119156,37.54719824,129.1072747,,3.44,,1.7,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
해안로2-R,대로3-15대로1-8,강원특별자치도,동해시,,강원특별자치도 동해시 천곡동 822,,강원특별자치도 동해시 발한동 215-7,37.5230284,129.119156,37.54719824,129.1072747,,3.43,,1.5,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
해안로1-L,대로1-8,강원특별자치도,동해시,,강원특별자치도 동해시 용정동 480-4,,강원특별자치도 동해시 천곡동 822,37.50517521,129.1259689,37.5230284,129.119156,,1.76,,3.1,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
해안로1-R,대로1-8,강원특별자치도,동해시,,강원특별자치도 동해시 용정동 480-4,,강원특별자치도 동해시 천곡동 822,37.50517521,129.1259689,37.5230284,129.119156,,1.76,,2.6,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
향로봉길,소로3-39,강원특별자치도,동해시,,강원특별자치도 동해시 부곡동 48-5,,강원특별자치도 동해시 발한동 36-1,37.53662473,129.1125697,37.54741678,129.1087441,,1.13,,1.5,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
발한로3,대로1-3,강원특별자치도,동해시,,강원특별자치도 동해시 평릉동 187,,강원특별자치도 동해시 부곡동 91,37.53067731,129.1052632,37.53538191,129.1043215,,0.48,,2.2,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
발한로2,대로2-4,강원특별자치도,동해시,,강원특별자치도 동해시 부곡동 66-28,,강원특별자치도 동해시 발한동 578-4,37.53876515,129.1015791,37.54317619,129.102253,,0.45,,1.4,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
발한로1-L,대로3-3,강원특별자치도,동해시,,강원특별자치도 동해시 발한동 215-7,,강원특별자치도 동해시 발한동 20-2,37.54719824,129.1072747,37.54926966,129.108905,,0.31,,1.7,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
발한로1-R,대로3-3,강원특별자치도,동해시,,강원특별자치도 동해시 발한동 215-7,,강원특별자치도 동해시 발한동 20-2,37.54719824,129.1072747,37.54926966,129.108905,,0.31,,2.5,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
일출로5-L,중로2-12,강원특별자치도,동해시,,강원특별자치도 동해시 발한동 20-2,,강원특별자치도 동해시 묵호진동108-1,37.54926966,129.108905,37.5514514,129.1109479,,0.29,,1.7,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
일출로5-R,중로2-12,강원특별자치도,동해시,,강원특별자치도 동해시 발한동 20-2,,강원특별자치도 동해시 묵호진동15-206,37.54926966,129.108905,37.55235097,129.1166024,,0.62,,2.5,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
일출로4,중로2-18중로2-12,강원특별자치도,동해시,,강원특별자치도 동해시 묵호진동15-206,,강원특별자치도 동해시 어달동184-1,37.55235097,129.1166024,37.56885329,129.1168567,,2.52,,1.5,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
일출로3,중로2-18중로2-12,강원특별자치도,동해시,,강원특별자치도 동해시 어달동 184-1,,강원특별자치도 동해시 대진동 197-3,37.56885329,129.1168567,37.57743182,129.1157732,,0.91,,1.8,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
일출로2,소로2-8,강원특별자치도,동해시,,강원특별자치도 동해시 대진동 197-3,,강원특별자치도 동해시 대진동201-8,37.57743182,129.1157732,37.58066313,129.1106599,,0.71,,1.5,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
일출로1-L,중로1-40,강원특별자치도,동해시,,강원특별자치도 동해시 대진동 201-8,,강원특별자치도 동해시 망상동 68-5,37.58066313,129.1106599,37.58435408,129.1003381,,1.04,,1.7,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
일출로1-R,중로1-40,강원특별자치도,동해시,,강원특별자치도 동해시 대진동 201-8,,강원특별자치도 동해시 망상동 68-5,37.58066313,129.1106599,37.58435408,129.1003381,,1.04,,2.2,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
대동로3-L,대로3-21,강원특별자치도,동해시,,강원특별자치도 동해시 송정동 1699,,강원특별자치도 동해시 송정동 1108-1,37.48827329,129.120455,37.49105138,129.1206518,,0.32,,2.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
대동로3-R,대로3-21,강원특별자치도,동해시,,강원특별자치도 동해시 송정동 1223-2,,강원특별자치도 동해시 송정동 1108-1,37.49004864,129.1216454,37.49105138,129.1206518,,0.1,,2.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
대동로2-L,대로3-21,강원특별자치도,동해시,,강원특별자치도 동해시 송정동 1108-1,,강원특별자치도 동해시 송정동 642,37.49105138,129.1206518,37.49589687,129.1306503,,0.95,,2.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
대동로2-R,대로3-21,강원특별자치도,동해시,,강원특별자치도 동해시 송정동 1108-1,,강원특별자치도 동해시 송정동 642,37.49105138,129.1206518,37.49589687,129.1306503,,0.92,,1.8,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
대동로1-L,대로3-21,강원특별자치도,동해시,,강원특별자치도 동해시 송정동 854-10,,강원특별자치도 동해시 용정동 65-3,37.50008552,129.1294698,37.50286964,129.1275533,,0.42,,1.8,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
대동로1-R,대로3-21,강원특별자치도,동해시,,강원특별자치도 동해시 송정동 642,,강원특별자치도 동해시 용정동 480-4,37.49589687,129.1306503,37.50517521,129.1259689,,1.05,,1.7,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
용정로-L,대로2-2,강원특별자치도,동해시,,강원특별자치도 동해시 효가동 32-4,,강원특별자치도 동해시 효가동 20-3,37.49575092,129.1154247,37.49709485,129.1151351,,0.17,,2.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
용정로-R,대로2-2,강원특별자치도,동해시,,강원특별자치도 동해시 효가동 32-4,,강원특별자치도 동해시 효가동 20-3,37.49575092,129.1154247,37.49709485,129.1151351,,0.17,,2.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
효자로-L,대로1-4,강원특별자치도,동해시,,강원특별자치도 동해시 쇄운동 453-2,,강원특별자치도 동해시 동회동262-6,37.48740926,129.0961973,37.4914103,129.1034122,,0.47,,1.4,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
효자로-R,대로1-4,강원특별자치도,동해시,,강원특별자치도 동해시 쇄운동 312-1,,강원특별자치도 동해시 동회동 434-1,37.48555912,129.0951797,37.49302351,129.1053363,,1.24,,1.5,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
효가로-L,대로3-19,강원특별자치도,동해시,,강원특별자치도 동해시 지흥동 504-34,,강원특별자치도 동해시 효가동 236,37.4952071,129.103624,37.4959821,129.1103016,,0.6,,1.9,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
효가로-R,대로3-19,강원특별자치도,동해시,,강원특별자치도 동해시 지흥동 504-34,,강원특별자치도 동해시 효가동 236,37.4952071,129.103624,37.4959821,129.1103016,,0.64,,2.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
효가1로-L,대로3-19대로2-2,강원특별자치도,동해시,,강원특별자치도 동해시 효가동 216-1,,강원특별자치도 동해시 송정동 1440-1,37.49562675,129.1114453,37.49265483,129.1154182,,0.55,,4.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
효가1로-R,대로3-19대로2-2,강원특별자치도,동해시,,강원특별자치도 동해시 효가동 216-1,,강원특별자치도 동해시 송정동 1440-1,37.49562675,129.1114453,37.49265483,129.1154182,,0.56,,4.0,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
천곡로2-L,대로2-1,강원특별자치도,동해시,,강원특별자치도 동해시 천곡동 787,,강원특별자치도 동해시 천곡동 1090,37.52684452,129.1055818,37.52330539,129.1136079,,0.8,,1.4,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
천곡로2-R,대로2-1,강원특별자치도,동해시,,강원특별자치도 동해시 천곡동 459-4,,강원특별자치도 동해시 천곡동 1090,37.52532077,129.1039489,37.52330539,129.1136079,,0.95,,1.5,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
천곡로1-L,대로2-1,강원특별자치도,동해시,,강원특별자치도 동해시 천곡동 1090,,강원특별자치도 동해시 천곡동 1090-14,37.52330539,129.1136079,37.52207837,129.1200005,,0.45,,1.4,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
천곡로1-R,대로2-1,강원특별자치도,동해시,,강원특별자치도 동해시 천곡동 1090,,강원특별자치도 동해시 천곡동 1090-14,37.52330539,129.1136079,37.52207837,129.1200005,,0.46,,1.4,,Y,강원특별자치도 동해시청,033-530-2584,2025-12-18,4211000,강원특별자치도 동해시
